DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,AT,2019-Q1,102.871,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,AT,2019-Q2,102.45,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,AT,2019-Q3,102.642,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,AT,2019-Q4,101.961,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,AT,2020-Q1,99.752,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,AT,2020-Q2,92.142,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,AT,2020-Q3,99.55,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,AT,2020-Q4,97.749,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,AT,2021-Q1,97.391,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,AT,2021-Q2,99.456,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,AT,2021-Q3,102.194,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,AT,2021-Q4,100.566,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,AT,2022-Q1,101.025,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,AT,2022-Q2,102.586,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,AT,2022-Q3,102.705,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,AT,2022-Q4,101.666,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,BE,2019-Q1,100.619,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,BE,2019-Q2,100.839,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,BE,2019-Q3,101.223,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,BE,2019-Q4,101.395,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,BE,2020-Q1,98.736,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,BE,2020-Q2,88.164,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,BE,2020-Q3,98.181,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,BE,2020-Q4,97.046,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,BE,2021-Q1,98.069,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,BE,2021-Q2,99.006,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,BE,2021-Q3,100.448,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,BE,2021-Q4,100.676,
