DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,AL,2019,1322,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,AL,2020,1234,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,AT,2019,1472,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,AT,2020,1529,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,BE,2019,2197,b
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,BE,2020,2152,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,BG,2019,2300,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,BG,2020,2232,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,CH,2019,1580,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,CH,2020,1537,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,CY,2019,194,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,CY,2020,188,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,CZ,2019,1306,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,CZ,2020,1243,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,DE,2019,14247,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,DE,2020,17710,b
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,DK,2019,939,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,DK,2020,920,b
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,EA19,2019,69394,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,EA19,2020,73310,b
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,EE,2019,318,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,EE,2020,305,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,EL,2019,3162,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,EL,2020,3033,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,ES,2019,11765,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,ES,2020,12384,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,EU27_2020,2019,91370,e
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,EU27_2020,2020,94469,b
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,FI,2019,849,
ESTAT:ILC_PEPS01(1.0),11/11/22 23:00:00,A,THS_PER,TOTAL,T,FI,2020,870,
