DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,AT,2019-S1,1.082,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,AT,2020-S1,1.099,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,AT,2021-S1,1.135,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,AT,2022-S1,1.106,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,BE,2019-S1,1,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,BE,2020-S1,1,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,BE,2021-S1,1,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,BE,2022-S1,1,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,BG,2019-S1,1.09,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,BG,2020-S1,1.106,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,BG,2021-S1,1.145,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,BG,2022-S1,1.192,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,CY,2019-S1,0.824,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,CY,2020-S1,0.812,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,CY,2021-S1,0.846,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,CY,2022-S1,0.829,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,CZ,2019-S1,18.82,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,CZ,2020-S1,19.27,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,CZ,2021-S1,19.14,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,CZ,2022-S1,20.48,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,DE,2019-S1,1.005,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,DE,2020-S1,1.012,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,DE,2021-S1,1.013,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,DE,2022-S1,1.006,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,DK,2019-S1,9.87,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,DK,2020-S1,9.89,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,DK,2021-S1,10.18,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,DK,2022-S1,10.16,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,EE,2019-S1,0.86,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,EE,2020-S1,0.851,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,EE,2021-S1,0.902,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,EE,2022-S1,0.981,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,EL,2019-S1,0.79,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,EL,2020-S1,0.791,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,EL,2021-S1,0.823,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,EL,2022-S1,0.848,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,ES,2019-S1,0.892,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,ES,2020-S1,0.907,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,ES,2021-S1,0.933,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,ES,2022-S1,0.934,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,FI,2019-S1,1.203,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,FI,2020-S1,1.203,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,FI,2021-S1,1.214,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,FI,2022-S1,1.189,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,FR,2019-S1,1.1,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,FR,2020-S1,1.103,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,FR,2021-S1,1.112,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,FR,2022-S1,1.077,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,HR,2019-S1,4.974,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,HR,2020-S1,5.054,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,HR,2021-S1,5.173,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,HR,2022-S1,5.262,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,HU,2019-S1,207.2,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,HU,2020-S1,213.6,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,HU,2021-S1,223.3,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,HU,2022-S1,232,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,IE,2019-S1,1.233,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,IE,2020-S1,1.207,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,IE,2021-S1,1.254,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,IE,2022-S1,1.29,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,IT,2019-S1,0.955,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,IT,2020-S1,0.962,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,IT,2021-S1,0.971,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,IT,2022-S1,0.941,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,LT,2019-S1,0.677,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,LT,2020-S1,0.687,
